category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
News & Politics,74.0,False,si,22,0,False,17,287000.0,10213.0,1233.6497264167476,1775.0,late_night,250k_to_500k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Travel & Events,22.0,True,en,12,5,True,11,3720.0,4036.0,1890.4887942240507,668.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
News & Politics,69.0,False,si,14,5,True,19,3760000.0,163923.0,3825.914363425926,138.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,256.0,False,si,0,1,False,24,2400.0,2010.0,433.9832122321065,6.0,early_morning,1k_to_10k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Music,60.0,True,en-GB,18,6,True,32,42900.0,2546.0,2412.1597934041665,2154.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Entertainment,41.0,True,en,16,2,False,30,3240000.0,37455.0,3050.185578703704,5060.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Music,16.0,True,en,8,2,False,8,3100.0,660.0,2483.798391203704,2178.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Entertainment,165.0,False,si,8,5,True,26,3240000.0,37455.0,3045.8518402777777,1023.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sports,27.0,True,en,17,4,False,28,25800.0,570.0,2426.7464366148724,22.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
News & Politics,501.0,False,si,16,0,False,41,917000.0,65293.0,2527.267071759259,958.0,evening,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Entertainment,26.0,True,si,7,0,False,28,1130000.0,11595.0,3471.8848958333333,3615.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,144.0,False,si,10,0,False,30,890000.0,3340.0,2767.6767939814813,1481.0,morning_afternoon,500k_to_1m,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Travel & Events,19.0,True,en,19,1,False,0,244.0,55.0,530.000133869213,461.0,evening,under_1k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
News & Politics,2426.0,False,si,20,1,False,21,3870000.0,180979.0,4291.339305555555,106609.0,evening,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Autos & Vehicles,14.0,True,en,5,2,False,4,7560.0,5846.0,976.9221222110648,710.0,early_morning,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Education,1054.0,False,si,19,2,False,9,18600.0,666.0,1977.034904208993,6339.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
Music,30.0,True,ko,16,5,True,0,14900.0,281.0,1264.9207218759957,6.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Entertainment,452.0,False,en,23,6,True,26,2370000.0,3752.0,2447.215172276597,107085.0,late_night,1m_plus,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Travel & Events,11.0,True,en,19,5,True,5,7180.0,139.0,1393.3523779083332,985.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
News & Politics,33.0,True,si,21,6,True,19,3760000.0,163923.0,3827.201215277778,735.0,late_night,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sports,44.0,True,si,21,4,False,24,10700.0,200.0,1762.251295112824,44.0,late_night,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Education,883.0,False,si,19,1,False,14,384000.0,428.0,2073.311090386852,3946.0,evening,250k_to_500k,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Education,47.0,True,si,18,4,False,0,52100.0,789.0,1718.8657541598031,992.0,evening,10k_to_100k,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Education,2271.0,False,si,19,1,False,24,554000.0,792.0,1960.172482880428,5680.0,evening,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Travel & Events,15.0,True,en,0,5,True,11,3720.0,4036.0,1882.9781460759027,289.0,early_morning,1k_to_10k,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
News & Politics,530.0,False,si,13,6,True,41,917000.0,65293.0,2526.1322453703706,240.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Film & Animation,784.0,False,en,9,6,True,20,29800.0,625.0,1481.4156061117014,2172.0,morning_afternoon,10k_to_100k,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
