video_id,captured_at,view_count,like_count,comment_count,live_broadcast_content,live_actual_start_time,live_actual_end_time,live_concurrent_viewers
6khqYTpjgCI,2026-07-17T19:04:31.186387+00:00,1410,61,11,none,2026-07-17T15:14:06Z,2026-07-17T15:31:37Z,
3eN8h-_xlJ4,2026-07-17T19:04:31.186387+00:00,288,0,0,none,,,
dQ4Q5mYVv38,2026-07-17T19:04:31.186387+00:00,743,7,0,none,,,
glBtukoqC7w,2026-07-17T19:04:31.186387+00:00,124,2,1,none,,,
XeQ60LlsXj0,2026-07-17T19:04:31.186387+00:00,815,68,0,none,,,
zfIb8h3ivt4,2026-07-17T19:04:31.186387+00:00,1237,9,0,none,,,
9Yh8XiObzmM,2026-07-17T19:04:31.186387+00:00,498,4,5,none,,,
rocN7FHW-0U,2026-07-17T19:04:31.186387+00:00,339,8,0,none,,,
uGXwAiSZ8R4,2026-07-17T19:04:31.186387+00:00,36081,1242,59,none,2026-07-17T16:00:07Z,2026-07-17T16:22:31Z,
6MohYExak8U,2026-07-17T19:04:31.186387+00:00,575,28,0,none,,,
9dA4ZJFCrBU,2026-07-17T19:04:31.186387+00:00,1212,21,0,none,,,
bihz7svTj0g,2026-07-17T19:04:31.186387+00:00,3209,50,1,none,,,
T3QpuLAaa6s,2026-07-17T19:04:31.186387+00:00,4068,33,1,none,,,
pHiSGvwRSgE,2026-07-17T19:04:31.186387+00:00,220,0,0,none,2026-07-17T03:02:24Z,2026-07-17T03:18:36Z,
9A2ZhPOAFX0,2026-07-17T19:04:31.186387+00:00,368,10,0,none,,,
9_P7ksX1-tM,2026-07-17T19:04:31.186387+00:00,57,0,0,none,,,
IbSPnidumjw,2026-07-17T19:04:31.186387+00:00,364,8,0,none,,,
jUYV5Qw6M8w,2026-07-17T19:04:31.186387+00:00,2140,31,0,none,,,
2WdflaMYw3Q,2026-07-17T19:04:31.186387+00:00,0,199,5,upcoming,,,
69dqAJ5asgU,2026-07-17T19:04:31.186387+00:00,267,17,0,none,,,
fwdCUXvK_Io,2026-07-17T19:04:31.186387+00:00,212,2,0,none,,,
t8OTtrQ9LgU,2026-07-17T19:04:31.186387+00:00,2717,29,9,none,,,
otI_UDz5zgQ,2026-07-17T19:04:31.186387+00:00,2428,92,17,none,,,
QKpZaBKKH68,2026-07-17T19:04:31.186387+00:00,62641,814,24,none,,,
wUfDliO8IiM,2026-07-17T19:04:31.186387+00:00,29905,1118,77,none,2026-07-17T14:10:06Z,2026-07-17T14:32:30Z,
gO1Y7NG8NPU,2026-07-17T19:04:31.186387+00:00,64,0,0,none,,,
