channel_id,title,category,country,subscriber_count,tier_hint
UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,News & Politics,LK,3150000,mega
UCExEH_AcfrEU4s5zobFZaSQ,Lankasri News,News & Politics,US,790000,mega
UC12Ujt77-UFGXPAalKwuXDg,Lanka News Web,News & Politics,LK,101000,mega
UCcg4tDKgPLIc_x3lhWdogLg,LankaAnews,News & Politics,LK,810000,mega
UCcijXxFzSXgoM6q9cCtT9PA,Swarnavahini News - Live,News & Politics,LK,287000,mega
UCQTcNhAZidy1i9wwmdgf2Lw,ITN Sri Lanka,News & Politics,LK,3240000,mega
UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,News & Politics,LK,1650000,mega
UC8lKgUHo-2mSR5cRRXO9xow,Siyatha News,News & Politics,LK,614000,mega
UCqrqt9Egbp4Voh3iEUUoorw,ITN News - Sri Lanka,News & Politics,LK,131000,mega
UCXVKlt8ddkf0zwc5X8UNTlg,Lanka Real News,News & Politics,CH,360000,mega
UCKI1D0lOG49rkpzcQ5bamHg,Lanka News Diary,News & Politics,LK,29100,mid
UCBf2SFtVDyQEHqEVJUqlCjA,Lanka ABC news,News & Politics,LK,70900,mid
UC_-PiJAV3gfbR-jBD6iUqEw,Lanka e News,News & Politics,LK,23800,mid
UCPgJzT7tvoFHE68-w4x80zg,Ravana Lanka News,News & Politics,LK,2410,small
UCB6Z-xT7HtZRlCzLFQeX4xw,SRI  LANKA NEWS 3,News & Politics,,5350,small
UCn39xNZ42C93DHXbbRH2mgA,TJ News Sri Lanka ,News & Politics,LK,7440,small
UCFZkc1YeDxidgnpD7fqO1Lg,Lanka politics news,News & Politics,,2640,small
UC-1uJQliiQgu8WH0II6TmTw,STEMUp Educational Foundation,Nonprofits & Activism,LK,745,below_threshold
UCZm-IhRPljjZGwWzQcODZaw,siri gunaruwan sisu diriya foundation,Nonprofits & Activism,,19,below_threshold
UCcXScMeXtgXvFUIYgHt0Z_A,United Volunteer,Nonprofits & Activism,,7,below_threshold
UCD_A7rY9eT4kWq0GNcfSxqQ,SLYO - Sri Lankan Youth Organization (SLYO),Nonprofits & Activism,US,149,below_threshold
UC25jwBfMrk9HxBCN1qommlQ,Satva Fund,Nonprofits & Activism,,4,below_threshold
UC5AaKZeGxH_AWbJhYFzcmhQ,EQUAL GROUND,Nonprofits & Activism,,762,below_threshold
UCFQtKhoXfxAkzmrmPE9oLjQ,Gamhewa Foundation,Nonprofits & Activism,,2,below_threshold
